timestamp,x,y,z,label
2.9831,94,72,-232,jump
0.0587,49,60,-240,jump
0.128,50,61,-241,jump
0.1725,46,62,-242,jump
0.2295,51,59,-241,jump
0.2864,51,59,-244,jump
0.3433,56,63,-260,jump
0.4002,64,33,-265,jump
0.4572,48,14,-245,jump
0.5152,73,-32,-229,jump
0.5732,75,-49,-208,jump
0.631,81,-75,-222,jump
0.6891,90,-80,-221,jump
0.7481,84,-124,-201,jump
0.807,83,-106,-195,jump
0.8656,74,-129,-196,jump
0.9245,70,-146,-190,jump
0.9832,67,-138,-189,jump
1.0419,73,-136,-188,jump
1.1006,80,-128,-199,jump
1.1594,84,-100,-197,jump
1.2182,85,-109,-205,jump
1.2761,91,-70,-223,jump
1.3347,103,-32,-217,jump
1.3935,124,-52,-245,jump
1.4513,103,-3,-230,jump
1.5102,106,-16,-235,jump
1.5682,102,12,-238,jump
1.6251,86,12,-221,jump
1.6827,110,23,-246,jump
1.7396,81,41,-222,jump
1.7964,88,42,-229,jump
1.8532,87,60,-230,jump
1.9099,79,62,-240,jump
1.9671,85,73,-241,jump
2.0236,79,69,-232,jump
2.0806,75,67,-227,jump
2.1374,78,69,-227,jump
2.1943,79,69,-231,jump
2.2511,73,75,-233,jump
2.3081,79,71,-234,jump
2.3649,78,69,-221,jump
2.4216,79,75,-232,jump
2.4785,75,71,-231,jump
2.5353,78,74,-230,jump
2.5921,78,73,-231,jump
2.6489,79,73,-226,jump
2.7059,80,74,-232,jump
2.7627,80,73,-228,jump
2.8196,76,72,-226,jump
2.8764,85,75,-232,jump
2.9332,82,73,-229,jump
2.9902,80,70,-228,jump
0.0786,87,76,-226,jump
0.1353,85,75,-228,jump
0.1922,86,74,-229,jump
0.2492,85,74,-225,jump
0.3063,88,75,-227,jump
0.3632,85,76,-228,jump
0.4201,85,75,-227,jump
0.477,84,75,-228,jump
0.5348,100,80,-257,jump
0.5928,103,61,-254,jump
0.6508,110,29,-264,jump
0.7087,81,-54,-182,jump
0.7676,72,-112,-137,jump
0.8277,116,-125,-177,jump
0.8876,122,-147,-196,jump
0.9475,102,-137,-171,jump
1.0074,100,-159,-149,jump
1.0661,91,-179,-163,jump
1.125,96,-160,-173,jump
1.1835,83,-165,-141,jump
1.2422,83,-182,-149,jump
1.3016,105,-163,-181,jump
1.3601,90,-172,-157,jump
1.4183,96,-160,-171,jump
1.4778,104,-142,-180,jump
1.5373,101,-159,-174,jump
1.5956,99,-151,-175,jump
1.6541,96,-151,-167,jump
1.7124,98,-130,-161,jump
1.772,124,-120,-191,jump
1.8303,140,-42,-250,jump
1.8888,114,-66,-194,jump
1.9474,129,-21,-227,jump
2.005,103,-1,-197,jump
2.0614,142,1,-262,jump
2.1191,111,14,-226,jump
2.1756,94,14,-215,jump
2.2322,77,32,-212,jump
2.2887,93,42,-240,jump
2.3453,96,58,-246,jump
2.4019,84,64,-236,jump
2.4584,84,64,-236,jump
2.5153,79,63,-231,jump
2.5717,75,62,-228,jump
2.6285,76,63,-234,jump
2.6852,80,60,-230,jump
2.7418,83,63,-232,jump
2.7985,78,64,-233,jump
2.8551,79,63,-236,jump
2.9118,75,64,-233,jump
2.9686,77,65,-230,jump
0.0508,81,73,-230,jump
0.1075,66,76,-235,jump
0.1646,69,76,-234,jump
0.2212,73,77,-225,jump
0.278,75,78,-225,jump
0.3348,72,74,-227,jump
0.3917,66,74,-233,jump
0.4486,76,75,-241,jump
0.5053,75,78,-239,jump
0.5619,89,53,-238,jump
0.6188,68,40,-230,jump
0.6767,74,-18,-218,jump
0.7357,102,-26,-238,jump
0.7936,85,-49,-215,jump
0.8523,110,-76,-219,jump
0.9101,94,-90,-203,jump
0.9689,98,-122,-194,jump
1.028,109,-96,-204,jump
1.0867,85,-131,-181,jump
1.1456,97,-133,-194,jump
1.2042,96,-134,-188,jump
1.2628,97,-134,-193,jump
