timestamp,x,y,z
23,90,68,-229
79,91,68,-226
136,91,69,-228
192,89,68,-227
248,91,67,-230
305,94,68,-234
361,95,62,-245
419,106,50,-236
476,128,23,-235
534,121,-6,-219
592,141,-30,-221
650,134,-66,-191
710,145,-110,-160
769,146,-113,-159
829,148,-135,-145
889,154,-145,-135
948,149,-144,-127
1007,138,-158,-127
1067,155,-157,-137
1127,142,-164,-131
1186,135,-164,-129
1246,129,-171,-124
1305,149,-157,-137
1364,135,-164,-125
1424,143,-155,-146
1484,147,-160,-142
1543,140,-141,-137
1603,138,-155,-137
1662,137,-133,-147
1722,139,-146,-148
1781,160,-106,-188
1840,145,-75,-184
1898,154,-91,-190
1957,135,-18,-203
2015,150,-67,-206
2074,137,-16,-209
2132,140,-41,-198
2189,131,-9,-212
2246,116,1,-203
2303,134,13,-246
2361,103,24,-220
2418,123,34,-227
2476,111,49,-232
2533,110,42,-233
2590,105,46,-220
2647,95,48,-207
2704,107,65,-235
2762,103,66,-237
2818,98,72,-226
2874,97,75,-217
2932,104,76,-231
2989,101,75,-226
