timestamp,x,y,z
65,5,44,-248
121,5,42,-249
176,3,45,-249
231,4,43,-251
286,0,42,-248
342,0,42,-247
398,40,41,-240
454,65,44,-239
511,88,42,-242
567,82,38,-235
623,92,34,-235
681,101,32,-228
738,121,29,-224
795,130,32,-221
853,126,30,-218
910,130,28,-220
967,134,30,-218
1025,136,28,-211
1082,138,27,-215
1139,137,27,-213
1197,139,29,-212
1254,140,30,-211
1312,137,28,-214
1369,136,29,-212
1426,132,31,-217
1484,121,29,-219
1541,114,39,-228
1599,108,36,-230
1655,93,44,-229
1711,45,38,-247
1768,35,35,-262
1824,19,40,-242
1879,3,42,-254
1936,-2,39,-249
1993,-16,37,-248
2051,-33,32,-238
2108,-58,40,-242
2165,-59,34,-245
2223,-54,38,-246
2280,-54,36,-241
2337,-57,36,-241
2395,-50,40,-250
2452,-35,38,-246
2509,-38,36,-242
2567,-36,39,-244
2624,-39,39,-246
2681,-41,39,-241
2739,-11,44,-242
2796,-27,40,-255
2854,-30,40,-240
2911,-27,43,-244
2968,-34,40,-252
