timestamp,x,y,z
31,-24,31,-249
89,-22,30,-250
146,-23,29,-248
204,-23,31,-247
262,-22,32,-249
320,-23,32,-246
378,-22,31,-248
435,-21,31,-248
493,-23,32,-247
551,-22,32,-250
609,-22,31,-250
666,-23,32,-251
724,-20,33,-249
782,-24,31,-246
840,-23,30,-250
897,-22,33,-249
955,-23,30,-250
1013,-22,31,-248
1071,-20,32,-248
1129,-24,29,-250
1186,-21,33,-246
1244,-23,33,-250
1302,-21,30,-249
1360,-22,31,-248
1417,-18,30,-248
1475,-22,31,-251
1533,-21,33,-250
1591,-20,30,-249
1649,-21,31,-250
1706,-19,31,-248
1764,-21,32,-249
1822,-18,31,-249
1880,-23,32,-249
1937,-20,32,-248
1995,-19,30,-249
2053,-19,32,-248
2111,-18,31,-249
2169,-20,32,-248
2226,-18,32,-249
2284,-19,32,-248
2342,-19,30,-251
2400,-19,31,-247
2457,-19,31,-250
2515,-14,33,-250
2573,-13,33,-248
2631,-19,30,-250
2689,-16,33,-248
2746,-17,32,-249
2804,-16,34,-250
2862,-17,34,-250
2920,-19,32,-247
2977,-15,33,-250
