timestamp,x,y,z
63,88,61,-227
120,87,62,-230
177,88,61,-232
234,90,61,-228
291,92,57,-231
348,93,50,-236
404,92,52,-229
462,129,23,-286
520,96,-12,-211
578,87,-82,-154
636,88,-103,-161
696,112,-149,-182
755,112,-163,-193
814,81,-146,-163
872,71,-164,-142
930,86,-182,-147
990,100,-189,-163
1048,85,-180,-150
1106,87,-169,-162
1165,63,-197,-136
1223,75,-189,-167
1281,72,-198,-146
1340,98,-156,-174
1399,106,-108,-164
1458,117,-179,-185
1517,101,-86,-179
1575,144,-87,-184
1634,126,-256,-239
1693,161,-61,-215
1749,148,0,-233
1808,144,253,-214
1864,120,4,-207
1922,105,35,-193
1979,116,48,-226
2036,94,68,-224
2093,103,69,-235
2150,83,77,-233
2206,70,84,-225
2263,72,85,-226
2319,78,85,-236
2376,75,91,-232
2432,81,92,-223
2489,77,91,-222
2545,88,90,-223
2602,82,84,-219
2659,87,94,-229
2715,74,90,-223
2772,73,89,-226
2829,83,93,-226
2885,81,92,-219
2942,77,90,-221
2998,81,91,-225
