timestamp,x,y,z
34,101,77,-220
92,101,77,-222
149,98,76,-222
207,103,80,-222
264,117,70,-231
322,108,58,-252
380,113,33,-220
437,118,2,-224
495,117,-22,-231
554,131,-63,-214
613,124,-86,-203
673,106,-130,-174
732,119,-137,-160
792,133,-152,-157
851,115,-160,-151
911,104,-176,-147
969,96,-172,-136
1027,95,-187,-135
1087,117,-174,-152
1146,105,-134,-135
1206,131,-170,-178
1265,118,-125,-157
1324,132,-145,-171
1384,131,-102,-161
1443,126,-123,-150
1502,158,-72,-221
1560,126,-48,-210
1618,142,-50,-208
1677,117,-17,-207
1735,124,-12,-207
1793,149,11,-270
1850,100,28,-223
1908,105,28,-223
1965,84,46,-210
2021,94,53,-230
2077,93,78,-231
2134,86,85,-226
2191,84,95,-241
2247,79,93,-221
2304,84,96,-218
2360,87,96,-222
2417,86,93,-221
2474,83,92,-222
2530,86,92,-223
2587,85,90,-221
2643,87,91,-227
2700,88,85,-223
2756,87,84,-226
2813,85,75,-221
2869,88,75,-216
2926,95,81,-227
2983,94,72,-232
