timestamp,x,y,z
20,41,41,-247
78,-40,44,-243
135,-42,46,-241
192,-42,45,-243
249,-41,48,-244
307,-38,44,-242
364,-37,43,-246
421,-37,47,-248
478,-38,42,-242
536,-41,45,-245
593,-35,44,-248
650,-35,45,-248
707,-35,43,-245
765,-33,44,-248
822,-35,45,-245
879,-35,44,-244
936,-36,44,-243
994,-38,46,-243
1051,-34,46,-244
1108,-35,46,-247
1166,-32,43,-243
1223,-35,44,-245
1280,-32,45,-245
1337,-35,43,-244
1395,-32,43,-244
1452,-34,47,-245
1509,-31,45,-245
1566,-37,45,-245
1624,-33,46,-243
1681,-34,46,-246
1738,-29,46,-247
1795,-33,46,-243
1853,-28,49,-246
1910,-30,45,-244
1967,-28,44,-245
2024,-27,46,-245
2082,-28,47,-246
2139,-27,45,-246
2196,-26,46,-245
2254,-29,47,-244
2311,-28,46,-247
2368,-26,48,-251
2425,-24,44,-246
2483,-28,47,-250
2540,-23,48,-245
2597,-30,44,-244
2654,-27,45,-245
2712,-25,46,-248
2769,-24,44,-245
2826,-25,48,-248
2883,-25,44,-247
2941,-25,46,-248
2998,-20,48,-251
