timestamp,x,y,z
58,113,58,-221
115,113,57,-219
173,114,57,-222
230,114,57,-222
287,115,58,-221
345,114,57,-220
402,117,55,-223
460,117,56,-223
517,138,61,-255
575,131,50,-219
633,166,-14,-275
692,119,-60,-167
751,111,-120,-125
808,99,-174,-79
868,164,-144,-157
927,140,-124,-137
987,155,-140,-153
1045,106,-27,-121
1103,143,-6,-200
1160,127,82,-272
1219,123,104,-268
1276,127,97,-254
1333,77,74,-192
1389,86,75,-194
1445,90,83,-224
1503,114,89,-253
1559,98,81,-221
1615,89,72,-199
1672,93,81,-209
1729,113,86,-237
1787,101,84,-226
1843,96,81,-209
1900,100,80,-214
1958,109,84,-228
2015,100,79,-220
2072,97,80,-212
2129,104,82,-217
2186,106,83,-225
2244,101,81,-217
2301,101,81,-216
2359,103,84,-220
2416,102,85,-219
2474,104,82,-218
2531,102,78,-213
2589,103,79,-217
2646,105,83,-221
2703,106,84,-222
2761,103,82,-218
2818,104,80,-215
2876,105,82,-220
2933,106,81,-217
2991,109,84,-218
