timestamp,x,y,z
78,87,76,-226
135,85,75,-228
192,86,74,-229
249,85,74,-225
306,88,75,-227
363,85,76,-228
420,85,75,-227
477,84,75,-228
534,100,80,-257
592,103,61,-254
650,110,29,-264
708,81,-54,-182
767,72,-112,-137
827,116,-125,-177
887,122,-147,-196
947,102,-137,-171
1007,100,-159,-149
1066,91,-179,-163
1125,96,-160,-173
1183,83,-165,-141
1242,83,-182,-149
1301,105,-163,-181
1360,90,-172,-157
1418,96,-160,-171
1477,104,-142,-180
1537,101,-159,-174
1595,99,-151,-175
1654,96,-151,-167
1712,98,-130,-161
1772,124,-120,-191
1830,140,-42,-250
1888,114,-66,-194
1947,129,-21,-227
2005,103,-1,-197
2061,142,1,-262
2119,111,14,-226
2175,94,14,-215
2232,77,32,-212
2288,93,42,-240
2345,96,58,-246
2401,84,64,-236
2458,84,64,-236
2515,79,63,-231
2571,75,62,-228
2628,76,63,-234
2685,80,60,-230
2741,83,63,-232
2798,78,64,-233
2855,79,63,-236
2911,75,64,-233
2968,77,65,-230
