timestamp,x,y,z
58,88,51,-231
115,91,53,-230
172,91,50,-231
230,94,50,-230
287,90,55,-233
344,93,51,-232
401,94,59,-244
458,97,46,-239
515,97,17,-229
571,103,5,-225
630,111,-34,-219
689,108,-52,-231
747,95,-51,-192
806,114,-95,-216
864,109,-77,-221
923,94,-104,-185
982,118,-87,-221
1040,107,-93,-194
1099,108,-83,-201
1158,127,-64,-218
1216,119,-68,-218
1275,122,-50,-230
1333,106,-65,-205
1392,101,-50,-196
1451,127,-31,-243
1507,98,-4,-203
1564,101,7,-218
1622,126,26,-247
1678,96,46,-230
1736,104,48,-233
1793,90,57,-231
1850,98,67,-243
1906,80,62,-227
1963,85,63,-225
2020,92,63,-233
2076,88,62,-230
2133,89,61,-232
2190,88,61,-230
2247,89,61,-226
2303,85,59,-231
2360,93,57,-231
2417,89,57,-226
2474,92,57,-233
2530,92,58,-230
2587,90,57,-228
2644,96,57,-230
2701,92,56,-231
2758,91,59,-228
2814,94,57,-230
2871,96,57,-232
2928,91,57,-229
2985,88,57,-228
