timestamp,x,y,z
66,121,-10,-221
127,116,-10,-215
188,117,-12,-224
248,120,-8,-227
309,121,-10,-222
370,119,-13,-233
431,119,-31,-235
493,115,-38,-229
554,137,-72,-210
615,120,-96,-183
677,126,-145,-161
739,135,-146,-140
801,125,-158,-128
863,108,-190,-110
924,94,-204,-109
985,108,-181,-125
1047,105,-190,-114
1109,106,-197,-114
1171,138,-136,-155
1233,120,-188,-130
1295,150,-124,-175
1356,101,-92,-123
1418,165,-117,-207
1479,132,-29,-204
1540,136,-48,-193
1601,155,-22,-236
1661,117,-3,-204
1720,137,5,-211
1780,110,33,-208
1840,124,41,-243
1900,111,51,-224
1959,91,52,-218
2019,100,63,-230
2079,107,66,-223
2139,104,69,-224
2199,104,67,-225
2258,93,65,-216
2318,101,66,-217
2378,103,72,-227
2437,97,70,-224
2496,96,69,-219
2555,92,68,-220
2614,97,76,-227
2673,95,72,-220
2732,96,74,-224
2791,90,72,-218
2850,97,76,-227
2909,95,71,-223
2968,94,71,-219
