timestamp,x,y,z
68,0,55,-248
124,0,54,-244
179,0,55,-248
235,1,54,-247
290,0,51,-246
346,0,55,-249
402,1,55,-247
457,1,55,-247
513,1,55,-247
568,0,54,-247
624,1,54,-247
679,1,52,-249
735,1,54,-245
790,0,54,-248
846,2,55,-248
901,0,53,-246
957,2,55,-249
1012,0,53,-246
1068,1,53,-247
1124,1,54,-247
1179,0,55,-248
1235,1,54,-248
1290,0,54,-246
1346,1,54,-248
1401,2,54,-246
1457,2,54,-248
1512,1,55,-247
1568,1,55,-248
1624,2,54,-248
1679,2,54,-245
1735,1,53,-247
1790,2,54,-249
1846,2,52,-246
1901,3,53,-247
1957,1,53,-248
2012,4,55,-248
2068,2,53,-246
2123,1,53,-247
2179,2,54,-245
2234,2,52,-248
2290,4,53,-248
2346,4,53,-248
2401,2,53,-247
2457,3,54,-249
2512,1,54,-247
2568,5,54,-248
2623,1,53,-248
2679,5,53,-248
2734,1,55,-247
2790,2,54,-249
2845,3,53,-247
2901,3,54,-247
2957,2,52,-247
