timestamp,x,y,z
77,111,107,-205
136,112,106,-204
196,114,105,-204
254,115,107,-204
313,113,105,-204
372,113,109,-206
431,110,107,-203
490,114,106,-205
549,115,108,-205
608,114,102,-206
667,113,104,-202
726,120,101,-211
784,128,96,-219
842,117,83,-205
900,126,79,-214
958,124,72,-205
1015,129,54,-210
1073,136,36,-212
1131,136,13,-207
1188,127,0,-199
1247,146,-18,-204
1306,146,-34,-211
1365,141,-50,-207
1424,126,-58,-199
1483,132,-87,-202
1542,131,-85,-207
1602,131,-104,-197
1661,129,-116,-194
1720,107,-132,-164
1779,126,-151,-182
1839,121,-141,-167
1897,96,-185,-136
1957,102,-157,-156
2016,115,-159,-156
2075,117,-154,-144
2135,116,-128,-184
2193,138,-83,-203
2253,145,-102,-195
2311,142,-66,-195
2369,138,-61,-195
2427,117,-1,-202
2485,166,-17,-238
2543,129,13,-225
2601,118,18,-206
2659,108,43,-217
2715,98,63,-211
2773,109,96,-251
2832,103,100,-235
2890,94,107,-211
2949,100,106,-211
3006,93,104,-202
