timestamp,x,y,z
45,13,41,-249
101,28,38,-249
157,7,36,-248
212,9,39,-248
269,11,31,-250
325,26,40,-250
382,37,42,-247
438,71,39,-239
496,102,45,-229
554,113,48,-233
611,114,42,-223
669,119,38,-225
727,120,38,-220
784,125,37,-219
842,132,39,-211
899,134,36,-215
957,139,39,-215
1014,142,35,-211
1072,143,35,-207
1129,148,35,-207
1187,148,36,-211
1245,150,33,-200
1302,149,36,-206
1360,147,36,-206
1417,144,35,-207
1475,139,35,-212
1532,140,38,-213
1590,129,36,-215
1647,120,48,-232
1705,104,46,-237
1761,61,34,-243
1818,16,38,-240
1876,-10,29,-247
1933,-17,44,-242
1991,-31,32,-241
2048,-38,34,-247
2106,-31,33,-252
2164,-26,36,-244
2221,-30,35,-245
2279,-25,38,-246
2337,-30,38,-247
2394,-22,38,-247
2452,-24,37,-248
2509,-17,39,-246
2567,-22,38,-247
2625,-19,39,-246
2682,-19,40,-250
2740,-12,38,-246
2798,-17,38,-248
2854,-8,42,-247
2912,-13,39,-243
2968,-8,41,-249
