timestamp,x,y,z
31,-11,50,-247
88,-12,49,-248
146,-10,47,-245
203,-9,48,-249
259,-7,49,-247
317,-10,48,-247
375,-10,48,-247
432,-11,49,-250
489,-8,47,-247
547,-10,49,-246
603,-8,48,-247
661,-11,50,-248
719,-10,50,-247
776,-10,47,-249
833,-8,48,-245
890,-11,48,-248
948,-10,47,-247
1006,-11,48,-249
1063,-10,48,-245
1121,-10,50,-249
1178,-9,48,-247
1235,-10,49,-244
1292,-9,48,-248
1350,-10,48,-249
1407,-10,48,-246
1465,-11,49,-247
1521,-8,50,-248
1579,-12,46,-247
1636,-8,48,-245
1693,-10,48,-246
1750,-8,47,-246
1807,-8,49,-246
1863,-9,48,-247
1920,-8,48,-246
1977,-9,49,-250
2034,-10,49,-247
2092,-10,48,-247
2148,-9,48,-248
2205,-8,47,-246
2262,-8,47,-245
2319,-10,48,-250
2376,-9,49,-246
2433,-9,49,-247
2489,-9,48,-247
2546,-8,48,-249
2602,-8,48,-245
2659,-9,46,-249
2715,-6,49,-246
2773,-11,50,-249
2830,-9,47,-245
2886,-9,49,-249
2943,-9,48,-246
3000,-8,48,-250
