timestamp,x,y,z
30,-7,34,-247
86,-5,33,-250
144,-10,31,-247
200,-8,33,-250
257,-7,34,-249
314,-10,32,-248
371,-9,33,-249
428,-10,32,-247
484,-4,32,-250
541,-8,33,-247
597,-8,34,-250
654,-8,34,-245
710,-9,35,-249
767,-7,33,-247
823,-4,34,-248
879,-6,33,-247
936,-4,34,-249
992,-4,33,-248
1049,-6,34,-249
1105,-9,34,-248
1162,-7,33,-249
1218,-8,32,-249
1274,-5,33,-251
1332,-10,33,-248
1388,-9,33,-248
1445,-4,34,-249
1501,-6,34,-250
1557,-5,35,-248
1615,-11,32,-250
1671,-7,33,-249
1728,-4,35,-248
1784,-6,34,-248
1841,-6,35,-250
1897,-4,33,-248
1954,-3,35,-248
2010,-6,34,-249
2066,-2,35,-250
2123,-2,36,-245
2179,-4,34,-251
2236,-4,34,-249
2292,-4,36,-248
2348,-2,34,-247
2405,-5,36,-250
2461,-5,38,-249
2518,-4,36,-249
2574,-3,36,-250
2631,-4,36,-247
2687,-4,35,-250
2743,-4,38,-248
2800,-3,37,-247
2856,-3,36,-250
2913,-5,36,-248
2969,-3,36,-249
