timestamp,x,y,z
25,-8,60,-245
83,-10,61,-247
141,-11,62,-244
198,-10,60,-242
255,-5,62,-247
312,-7,59,-244
368,-7,63,-248
425,-9,62,-244
482,-11,60,-244
539,-9,61,-245
596,-7,60,-243
652,-8,61,-245
709,-7,62,-245
765,-8,62,-245
822,-7,60,-245
879,-6,61,-246
935,-6,60,-242
993,-10,62,-247
1049,-6,61,-244
1106,-7,61,-246
1163,-6,61,-245
1219,-7,61,-245
1276,-6,61,-245
1332,-7,61,-243
1389,-3,62,-246
1446,-7,62,-245
1502,-4,62,-246
1559,-5,60,-244
1615,-8,62,-248
1672,-6,59,-244
1728,-6,61,-247
1785,-7,61,-243
1842,-8,62,-244
1898,-4,60,-245
1955,-4,63,-247
2011,-9,62,-242
2068,-5,62,-245
2125,-2,61,-246
2181,-4,61,-244
2238,-5,62,-248
2295,-4,60,-246
2351,-5,63,-245
2408,-6,61,-245
2465,-6,61,-247
2521,-6,62,-246
2578,-5,62,-242
2635,-4,62,-245
2691,-6,61,-246
2748,-6,61,-244
2804,-3,61,-245
2861,-5,61,-244
2918,-5,62,-246
2975,-4,62,-244
