timestamp,x,y,z
59,-10,39,-246
116,-13,38,-247
174,-14,40,-247
232,-12,39,-248
290,-14,40,-248
348,-15,40,-249
406,-12,39,-248
463,-12,40,-250
521,-15,38,-250
579,-12,39,-248
637,-11,37,-248
695,-13,40,-247
753,-13,39,-246
810,-10,38,-249
868,-12,40,-248
926,-12,39,-248
984,-12,38,-249
1042,-11,38,-248
1100,-15,40,-249
1157,-14,39,-246
1215,-14,40,-247
1273,-12,40,-248
1331,-14,41,-248
1389,-14,40,-248
1447,-12,40,-249
1504,-14,40,-248
1562,-12,40,-249
1620,-14,40,-247
1678,-15,40,-247
1735,-13,40,-250
1793,-15,42,-248
1851,-15,40,-248
1909,-15,41,-248
1966,-16,41,-247
2024,-14,41,-249
2082,-15,40,-248
2139,-14,39,-248
2197,-15,41,-248
2255,-14,41,-248
2313,-16,41,-247
2370,-15,40,-249
2428,-13,40,-248
2486,-16,41,-249
2544,-15,41,-247
2601,-16,41,-247
2659,-17,40,-248
2717,-15,41,-247
2774,-16,41,-246
2832,-17,40,-249
2889,-15,40,-249
2947,-17,42,-248
3005,-14,40,-249
