timestamp,x,y,z
50,-46,59,-240
108,-44,57,-244
165,-41,57,-244
222,-41,58,-245
279,-42,58,-242
337,-41,58,-241
394,-42,59,-243
451,-39,61,-244
508,-40,60,-243
566,-40,61,-239
623,-41,61,-240
680,-38,62,-238
738,-38,60,-238
795,-40,59,-242
852,-39,59,-241
909,-36,58,-246
966,-36,57,-242
1023,-36,57,-244
1081,-35,59,-246
1138,-36,57,-242
1196,-38,59,-244
1253,-36,58,-242
1310,-38,61,-242
1367,-35,59,-241
1424,-39,58,-239
1482,-41,56,-238
1539,-34,57,-238
1596,-35,61,-242
1653,-31,59,-243
1711,-35,58,-243
1768,-36,57,-240
1825,-34,58,-247
1883,-35,59,-243
1940,-33,60,-244
1997,-35,59,-240
2054,-35,60,-243
2112,-34,58,-238
2169,-36,59,-240
2226,-31,59,-244
2283,-37,59,-234
2341,-28,58,-234
2398,-33,62,-251
2455,-24,57,-249
2513,-25,56,-250
2570,-22,57,-247
2627,-23,58,-244
2685,-22,58,-241
2742,-23,59,-241
2799,-27,60,-246
2857,-26,56,-245
2914,-26,55,-242
2971,-24,58,-246
