timestamp,x,y,z
31,70,102,-224
88,71,101,-221
145,69,101,-224
203,71,101,-225
260,70,102,-222
318,71,101,-223
375,73,109,-226
432,81,88,-243
488,80,59,-239
545,119,38,-237
602,127,2,-227
660,129,-23,-223
719,125,-61,-195
777,123,-93,-179
837,134,-113,-170
896,129,-141,-143
956,131,-166,-134
1015,135,-163,-138
1075,127,-175,-113
1134,123,-179,-117
1194,124,-190,-116
1252,121,-206,-90
1310,126,-199,-83
1369,125,-188,-76
1427,127,-209,-82
1485,126,-195,-92
1543,117,-190,-82
1603,135,-172,-113
1662,141,-161,-131
1722,130,-183,-119
1781,149,-141,-153
1839,141,-93,-165
1899,159,-142,-173
1957,166,-51,-205
2015,144,-99,-181
2074,164,-43,-208
2132,127,-39,-191
2191,155,-42,-218
2249,111,-29,-191
2305,135,0,-215
2362,96,29,-243
2419,131,18,-243
2475,90,47,-208
2531,93,64,-219
2588,75,76,-237
2644,80,95,-249
2700,88,94,-242
2756,71,85,-220
2813,76,86,-212
2869,73,88,-223
2925,78,97,-239
2982,73,87,-229
