timestamp,x,y,z
19,2,59,-251
74,0,58,-243
131,-1,58,-248
187,0,60,-247
242,0,57,-246
298,0,57,-247
353,0,59,-245
409,1,58,-243
466,17,61,-248
521,7,60,-249
578,22,54,-237
635,32,52,-245
691,37,53,-247
748,69,57,-244
805,84,52,-235
861,81,52,-231
918,81,44,-235
974,96,43,-230
1032,116,36,-220
1090,128,41,-228
1147,129,36,-213
1205,132,35,-219
1262,132,34,-222
1320,133,29,-209
1377,139,31,-215
1435,140,33,-211
1492,144,35,-205
1549,89,37,-245
1605,71,46,-249
1662,52,42,-243
1718,-5,33,-248
1775,-3,49,-248
1832,-63,30,-240
1890,-68,30,-232
1947,-60,33,-240
2005,-65,32,-245
2063,-61,33,-242
2120,-56,29,-240
2178,-64,32,-239
2236,-54,35,-246
2293,-56,33,-242
2351,-54,35,-243
2408,-45,36,-241
2466,-48,34,-243
2523,-49,36,-241
2581,-47,37,-246
2639,-49,35,-244
2696,-46,37,-240
2754,-47,38,-245
2812,-45,40,-251
2869,-44,38,-241
2927,-43,39,-247
2984,-44,41,-246
