timestamp,x,y,z
56,30,67,-237
113,34,65,-245
169,36,62,-236
225,47,62,-239
281,48,62,-236
337,45,61,-232
394,40,64,-235
450,41,67,-235
506,46,65,-240
562,48,65,-237
619,46,65,-234
675,50,66,-241
731,43,75,-248
787,68,22,-263
843,42,35,-253
901,77,-27,-218
958,98,-91,-180
1017,113,-103,-184
1077,121,-124,-188
1135,97,-145,-172
1194,101,-156,-158
1254,104,-159,-154
1313,104,-171,-145
1373,108,-161,-147
1431,98,-168,-140
1490,113,-170,-149
1549,116,-92,-158
1608,116,-130,-183
1667,119,-36,-203
1724,106,14,-214
1779,127,-2,-5
1836,73,52,-222
1892,98,49,-257
1948,62,61,-232
2005,56,68,-231
2061,62,82,-251
2117,52,81,-246
2174,38,90,-229
2230,43,89,-235
2286,45,89,-233
2343,46,89,-235
2399,53,91,-235
2456,55,91,-228
2512,44,87,-237
2568,61,88,-237
2625,56,86,-225
2681,55,79,-228
2737,65,82,-230
2794,62,73,-225
2850,64,77,-228
2907,65,80,-229
2963,66,81,-229
