timestamp,x,y,z
81,-14,28,-249
138,-16,27,-248
196,-16,28,-249
253,-14,27,-248
311,-14,28,-248
369,-16,28,-248
426,-15,28,-250
484,-17,27,-248
541,-15,26,-250
599,-14,27,-251
656,-18,29,-250
714,-16,28,-247
771,-15,26,-250
829,-13,26,-247
887,-14,28,-250
944,-16,25,-249
1002,-13,28,-251
1059,-17,26,-248
1117,-12,28,-249
1174,-17,27,-249
1232,-14,27,-250
1290,-15,28,-251
1347,-14,26,-249
1405,-17,27,-247
1462,-14,27,-250
1520,-14,29,-249
1578,-15,26,-246
1635,-14,29,-248
1693,-15,27,-249
1751,-14,29,-250
1808,-12,29,-249
1866,-14,26,-247
1924,-14,27,-250
1981,-14,27,-250
2039,-14,26,-250
2097,-13,29,-250
2154,-14,27,-249
2212,-13,27,-249
2270,-14,28,-250
2327,-13,28,-250
2385,-12,27,-248
2443,-13,28,-250
2500,-10,28,-250
2558,-12,29,-251
2616,-14,27,-248
2673,-11,28,-252
2731,-12,28,-247
2789,-10,28,-251
2846,-12,29,-249
2904,-11,28,-249
2962,-10,28,-251
