timestamp,x,y,z
45,77,42,-238
101,76,41,-238
158,76,44,-237
214,76,43,-238
270,75,44,-240
327,73,45,-240
383,79,38,-255
440,73,33,-251
496,75,10,-247
553,82,-20,-228
611,99,-52,-213
668,96,-58,-229
727,114,-94,-197
786,106,-105,-179
846,125,-120,-193
905,110,-131,-186
965,103,-139,-177
1024,103,-160,-166
1084,113,-134,-168
1143,125,-154,-174
1203,108,-132,-163
1262,104,-124,-180
1322,128,-113,-200
1380,127,-90,-203
1440,118,-101,-182
1498,124,-55,-211
1557,130,-31,-231
1615,124,-39,-237
1674,108,-14,-224
1732,105,-23,-214
1789,108,0,-227
1845,113,5,-227
1902,122,30,-238
1959,70,63,-224
2015,86,43,-230
2071,61,61,-241
2128,71,66,-224
2184,78,78,-245
2241,78,82,-238
2297,69,82,-221
2353,67,79,-212
2410,76,79,-233
2466,77,80,-239
2522,85,77,-234
2579,77,71,-212
2635,76,73,-216
2692,84,72,-236
2748,86,76,-231
2804,85,73,-226
2861,76,75,-225
2917,83,74,-233
2974,83,72,-231
