timestamp,x,y,z
45,1,40,-248
100,6,39,-250
156,3,38,-248
211,3,41,-252
267,5,41,-247
322,3,39,-248
378,6,29,-242
434,51,43,-251
491,46,34,-240
547,54,36,-239
604,67,40,-248
660,68,37,-241
717,84,39,-235
774,114,34,-233
832,125,33,-227
889,130,29,-214
947,132,31,-216
1004,128,30,-220
1061,132,27,-212
1119,141,33,-213
1176,136,28,-213
1234,138,30,-212
1291,139,31,-211
1349,137,31,-215
1406,126,27,-218
1464,130,30,-215
1521,132,30,-221
1579,121,31,-229
1635,90,28,-237
1692,90,27,-232
1748,55,29,-244
1805,33,35,-252
1861,13,30,-255
1918,16,33,-247
1973,4,39,-236
2031,-19,27,-248
2088,-27,29,-252
2146,-27,30,-242
2203,-30,40,-250
2261,-37,46,-247
2318,-41,35,-247
2376,-39,35,-245
2433,-41,35,-247
2491,-43,35,-245
2548,-34,38,-246
2606,-38,37,-251
2663,-33,37,-244
2721,-27,39,-249
2778,-30,36,-244
2836,-34,36,-248
2894,-31,37,-249
2951,-18,43,-245
3009,-25,39,-249
