timestamp,x,y,z
51,-26,25,-245
109,-22,25,-250
167,-22,30,-246
224,-10,30,-247
282,-56,23,-249
340,-35,25,-250
397,-26,27,-244
455,-13,27,-249
512,-25,25,-246
570,-29,27,-250
631,-23,27,-249
685,-22,28,-252
743,-20,27,-246
800,-25,27,-250
858,-23,28,-245
916,-20,29,-255
973,-18,25,-244
1031,-22,28,-249
1089,-20,28,-249
1146,-19,27,-249
1204,-18,29,-246
1261,-18,28,-250
1319,-21,26,-246
1377,-17,27,-245
1434,-18,29,-250
1492,-17,28,-248
1549,-19,28,-248
1607,-20,26,-248
1665,-16,26,-245
1722,-19,29,-248
1780,-16,28,-250
1838,-18,29,-247
1895,-18,28,-249
1953,-15,29,-248
2011,-19,27,-249
2068,-17,28,-249
2126,-19,28,-249
2184,-15,28,-249
2241,-18,26,-250
2299,-17,30,-252
2356,-18,27,-244
2414,-17,30,-251
2472,-14,26,-245
2529,-15,29,-252
2587,-16,25,-245
2645,-13,28,-250
2702,-16,27,-247
2760,-16,28,-252
2818,-15,27,-246
2875,-16,28,-252
2933,-15,28,-246
2990,-15,28,-249
