timestamp,x,y,z
24,-18,43,-244
81,-17,47,-248
139,-18,47,-246
196,-17,46,-244
254,-15,48,-246
311,-11,46,-243
366,9,56,-250
421,7,43,-246
478,33,52,-233
534,72,59,-245
590,81,52,-237
647,74,54,-237
703,88,48,-230
760,103,53,-229
817,107,46,-225
874,116,44,-219
932,113,41,-230
989,115,41,-216
1046,117,42,-224
1103,118,40,-227
1161,124,41,-216
1218,122,41,-225
1275,122,44,-227
1333,130,42,-216
1390,127,40,-218
1447,128,41,-217
1504,126,41,-218
1561,124,36,-211
1619,117,38,-223
1676,126,39,-235
1733,77,37,-241
1789,89,49,-243
1845,60,44,-243
1901,81,45,-238
1957,32,41,-247
2013,6,42,-247
2068,1,42,-247
2124,-7,43,-243
2182,-10,45,-251
2239,-15,44,-246
2296,-24,51,-238
2354,-40,39,-241
2410,-43,41,-245
2468,-45,43,-243
2525,-47,40,-238
2583,-44,38,-241
2640,-50,38,-243
2697,-49,40,-243
2754,-45,41,-243
2811,-46,40,-241
2869,-47,41,-248
2926,-46,39,-239
2984,-44,39,-242
