timestamp,x,y,z
61,2,86,-241
116,0,85,-241
172,-1,84,-240
228,2,84,-237
283,3,87,-242
338,0,85,-236
393,1,87,-239
449,2,85,-238
504,1,87,-240
559,1,85,-239
614,0,83,-236
670,3,88,-241
725,1,84,-238
780,1,86,-240
835,2,84,-238
891,2,86,-237
946,1,86,-238
1001,3,86,-240
1056,1,85,-235
1112,5,88,-239
1167,0,84,-237
1222,4,86,-239
1277,2,88,-238
1333,1,87,-237
1388,1,85,-239
1443,0,87,-239
1498,3,84,-237
1554,3,86,-239
1609,1,85,-237
1664,3,89,-242
1720,2,88,-236
1775,1,89,-239
1830,0,84,-236
1886,-2,85,-236
1942,3,87,-240
1997,0,87,-237
2052,2,88,-239
2107,2,88,-237
2163,5,89,-244
2218,3,82,-225
2273,4,87,-239
2328,3,88,-241
2384,5,86,-235
2439,2,86,-238
2494,2,87,-235
2550,5,88,-238
2605,4,87,-240
2660,3,87,-238
2715,3,88,-237
2770,2,87,-239
2826,5,90,-239
2881,5,88,-235
2936,3,88,-239
2992,2,87,-239
