timestamp,x,y,z
61,-10,41,-248
118,-8,42,-248
174,-8,38,-251
231,-8,42,-248
289,-10,39,-247
345,-9,38,-248
402,-8,41,-245
460,-11,41,-247
517,-12,42,-250
574,-8,40,-246
631,-9,43,-250
688,-7,40,-246
744,-9,42,-247
801,-7,43,-248
858,-7,41,-250
914,-8,40,-246
971,-8,41,-248
1028,-8,43,-249
1084,-5,42,-250
1141,-9,41,-246
1198,-9,42,-253
1254,-6,42,-248
1311,-9,39,-245
1368,-7,43,-246
1425,-8,42,-246
1481,-5,43,-249
1538,-7,43,-242
1595,-6,39,-249
1652,-3,43,-251
1707,0,42,-247
1764,-4,41,-249
1821,-3,40,-246
1879,-11,41,-251
1936,-5,41,-248
1992,-8,44,-247
2049,-3,39,-245
2106,-3,40,-251
2163,-1,42,-245
2220,-4,40,-248
2277,-8,40,-247
2333,-1,40,-248
2390,-5,40,-249
2447,-2,42,-246
2504,-6,44,-246
2561,-3,43,-251
2617,-2,40,-245
2674,-2,43,-252
2731,-5,40,-247
2788,-3,40,-246
2844,1,43,-253
2901,-5,38,-248
2957,-1,42,-250
3014,-1,42,-252
