timestamp,x,y,z
66,95,91,-221
122,96,91,-221
179,94,90,-218
236,96,90,-221
293,94,89,-220
349,91,89,-219
406,98,91,-222
463,95,88,-218
521,108,77,-226
579,131,68,-252
636,124,30,-249
694,113,15,-215
753,100,-64,-191
811,115,-55,-212
870,104,-96,-183
929,125,-107,-191
988,112,-122,-178
1047,130,-94,-189
1106,127,-105,-200
1164,129,-73,-212
1223,124,-77,-197
1281,123,-61,-209
1339,116,-51,-203
1398,133,-31,-225
1455,130,-8,-221
1513,131,-7,-216
1570,114,21,-213
1628,119,22,-216
1686,115,45,-225
1744,115,63,-220
1801,133,65,-232
1858,98,80,-218
1917,110,101,-223
1975,94,109,-202
2033,102,109,-218
2091,92,108,-210
2149,97,106,-203
2207,97,107,-201
2266,106,113,-218
2323,99,113,-208
2381,96,108,-204
2440,109,114,-219
2498,97,107,-211
2555,96,99,-203
2613,97,103,-204
2671,110,110,-214
2730,105,106,-212
2789,103,104,-209
2848,102,105,-205
2907,113,109,-213
2966,105,105,-208
