timestamp,x,y,z
34,0,21,-251
90,0,22,-251
146,-1,23,-251
201,2,23,-251
256,4,21,-249
311,8,23,-245
368,36,22,-256
424,34,20,-245
480,36,19,-246
537,59,23,-248
593,80,18,-239
650,107,19,-230
708,128,19,-223
765,128,16,-223
822,134,14,-213
880,143,14,-213
937,150,15,-209
995,151,15,-205
1052,149,14,-206
1109,154,12,-206
1167,154,13,-205
1224,155,15,-207
1281,145,11,-211
1339,136,10,-213
1396,130,16,-222
1453,121,18,-238
1511,127,18,-218
1567,59,24,-229
1624,49,32,-261
1680,33,22,-255
1735,9,23,-237
1791,12,20,-246
1849,-10,27,-251
1906,-22,23,-246
1964,-40,17,-247
2021,-40,23,-238
2079,-50,29,-245
2136,-60,24,-244
2193,-53,27,-245
2251,-52,27,-246
2308,-42,28,-248
2366,-38,27,-247
2423,-39,27,-248
2480,-38,30,-246
2538,-34,31,-245
2595,-39,30,-247
2653,-36,27,-247
2710,-36,26,-242
2768,-36,30,-251
2825,-36,30,-249
2882,-29,28,-243
2940,-34,28,-245
2997,-33,28,-250
