timestamp,x,y,z
62,-18,30,-249
119,-16,30,-248
177,-17,32,-249
234,-17,31,-247
292,-15,31,-248
349,-15,31,-247
407,-16,32,-244
463,10,33,-245
518,0,32,-239
575,70,37,-253
631,96,28,-242
688,117,26,-225
746,129,18,-210
803,168,23,-224
860,151,14,-196
917,143,6,-213
973,158,2,-200
1029,172,5,-192
1087,166,10,-200
1144,159,12,-203
1201,157,11,-202
1259,147,10,-207
1316,148,11,-209
1373,144,13,-213
1431,119,15,-214
1488,111,20,-229
1546,109,25,-230
1602,69,40,-251
1658,56,32,-250
1715,20,15,-240
1771,-7,23,-253
1828,-41,35,-241
1886,-44,24,-246
1943,-65,20,-232
2000,-64,19,-233
2058,-67,31,-247
2115,-61,23,-240
2172,-68,21,-237
2229,-64,23,-241
2287,-61,25,-242
2344,-61,26,-241
2401,-49,30,-240
2458,-58,30,-250
2516,-58,26,-237
2573,-50,30,-243
2630,-49,31,-243
2687,-51,30,-245
2745,-46,34,-241
2802,-50,32,-250
2860,-47,31,-236
2917,-47,33,-244
2974,-45,34,-249
