timestamp,x,y,z
22,-29,35,-245
80,-34,33,-242
138,-28,33,-253
195,-31,31,-244
253,-31,32,-245
311,-31,33,-247
369,-31,33,-248
426,-31,35,-248
484,-29,33,-246
542,-33,32,-249
600,-32,34,-245
657,-32,34,-249
715,-32,31,-247
773,-33,32,-248
831,-28,34,-247
889,-34,33,-246
946,-30,34,-243
1004,-29,32,-247
1062,-29,36,-248
1120,-31,32,-245
1177,-30,33,-248
1235,-33,35,-248
1293,-32,34,-247
1351,-32,33,-250
1409,-32,33,-246
1466,-32,32,-246
1524,-31,33,-249
1582,-33,32,-241
1640,-27,37,-259
1698,-32,32,-239
1755,-33,36,-252
1813,-31,33,-244
1871,-31,35,-247
1929,-33,34,-244
1987,-30,37,-247
2044,-34,34,-244
2102,-29,36,-250
2160,-35,35,-244
2218,-30,35,-251
2275,-31,35,-244
2333,-31,34,-247
2391,-33,34,-246
2449,-32,35,-248
2507,-32,33,-246
2564,-31,34,-247
2622,-31,34,-249
2680,-31,34,-247
2738,-31,36,-248
2796,-33,34,-248
2853,-32,34,-245
2911,-30,36,-248
2969,-37,32,-245
