timestamp,x,y,z
71,-2,39,-250
127,-2,38,-247
184,-3,40,-249
241,-2,40,-248
297,-1,43,-252
354,-1,42,-247
411,-3,40,-249
467,-3,40,-248
524,-2,40,-248
580,-3,40,-249
637,-1,40,-248
694,-3,41,-249
750,-1,41,-249
807,-2,40,-250
864,-2,40,-247
919,0,40,-249
976,-2,41,-250
1033,-1,42,-247
1089,-1,41,-247
1146,-1,40,-249
1203,-3,41,-247
1259,-1,41,-248
1316,-2,40,-248
1372,-3,41,-248
1429,-1,42,-250
1486,-1,40,-247
1542,-1,41,-251
1599,-2,40,-248
1656,-2,41,-248
1712,-1,41,-249
1769,-2,41,-248
1826,-2,41,-249
1882,-2,41,-247
1939,-2,41,-249
1994,0,41,-249
2051,-2,41,-247
2107,-3,40,-249
2164,-1,41,-251
2221,-1,40,-247
2278,-2,41,-248
2334,-3,42,-249
2391,-1,41,-247
2448,-3,40,-246
2504,-4,42,-251
2561,-2,39,-247
2618,-1,39,-247
2674,-1,41,-250
2731,-6,42,-249
2788,-2,42,-250
2844,-8,43,-250
2901,-2,41,-248
2958,-5,41,-249
