timestamp,x,y,z
61,-8,43,-246
117,-3,43,-250
173,-5,40,-247
229,-6,43,-247
286,-4,41,-248
342,-5,41,-244
398,-1,44,-248
454,13,42,-238
511,28,45,-254
567,34,41,-241
623,52,50,-240
679,79,50,-245
736,86,39,-233
792,97,49,-239
849,107,41,-226
907,115,40,-224
964,119,41,-221
1021,124,40,-223
1079,123,37,-219
1136,136,37,-215
1193,100,35,-230
1250,100,41,-238
1307,84,44,-234
1363,84,36,-234
1419,51,38,-250
1475,73,42,-245
1531,8,33,-240
1587,-6,35,-244
1644,-11,31,-238
1702,-28,37,-248
1759,-13,38,-246
1816,-14,38,-247
1873,-35,39,-248
1930,-30,36,-243
1988,-46,38,-242
2045,-47,37,-244
2102,-40,40,-241
2160,-38,34,-244
2217,-42,37,-246
2274,-42,38,-245
2331,-34,39,-248
2389,-34,39,-246
2446,-33,41,-244
2503,-34,41,-247
2560,-33,39,-246
2618,-30,42,-249
2675,-24,41,-244
2732,-29,40,-245
2790,-27,42,-244
2847,-28,41,-247
2904,-28,41,-245
2961,-28,40,-247
