timestamp,x,y,z
51,2,46,-247
106,2,45,-249
162,1,48,-248
217,2,48,-248
272,0,47,-246
327,2,49,-249
382,2,51,-248
438,6,42,-247
494,24,50,-249
550,22,46,-249
606,29,47,-247
663,36,43,-241
719,44,40,-243
775,64,43,-248
831,65,40,-239
888,74,41,-237
944,90,37,-231
1001,102,36,-224
1057,97,34,-235
1114,99,34,-231
1171,104,35,-226
1228,101,34,-230
1285,110,33,-223
1342,64,37,-238
1398,60,36,-252
1454,29,36,-241
1511,18,44,-253
1567,21,42,-251
1624,-20,34,-252
1681,-26,35,-238
1739,-28,38,-246
1796,-54,40,-251
1853,-58,40,-248
1910,-55,39,-239
1968,-61,42,-238
2025,-68,43,-253
2082,-58,42,-222
2139,-71,28,-230
2197,-62,28,-240
2254,-65,26,-236
2311,-61,30,-233
2368,-64,34,-245
2426,-60,36,-245
2483,-61,33,-239
2541,-61,34,-241
2598,-62,35,-246
2655,-61,33,-241
2713,-55,36,-239
2770,-60,34,-244
2827,-54,40,-243
2884,-58,36,-237
2942,-52,37,-243
2999,-53,37,-242
