timestamp,x,y,z
34,39,26,-248
91,40,24,-247
147,41,25,-249
203,42,24,-247
260,40,26,-248
316,43,26,-246
372,45,28,-236
429,62,30,-243
485,66,31,-246
541,74,33,-243
598,88,30,-238
655,100,32,-234
713,117,33,-234
770,111,28,-231
828,121,28,-220
885,126,28,-219
942,122,26,-223
1000,125,28,-220
1057,124,29,-222
1115,124,27,-222
1172,126,28,-221
1229,120,31,-227
1286,95,33,-235
1343,112,29,-232
1400,81,34,-250
1456,54,40,-251
1512,16,23,-245
1570,-20,15,-246
1627,-32,17,-256
1685,-26,22,-246
1742,-22,21,-242
1799,-52,19,-249
1857,-69,32,-246
1914,-67,17,-238
1971,-82,16,-239
2029,-75,18,-240
2086,-70,20,-239
2143,-73,18,-237
2201,-70,20,-242
2258,-72,20,-238
2315,-69,21,-239
2372,-71,21,-239
2430,-67,21,-239
2487,-67,20,-242
2544,-61,20,-237
2602,-60,21,-238
2659,-66,22,-248
2716,-61,23,-239
2773,-64,24,-239
2831,-65,21,-245
2888,-58,21,-241
2946,-63,22,-242
3003,-57,24,-242
