timestamp,x,y,z
68,67,80,-231
125,70,78,-232
181,70,78,-231
237,70,79,-229
294,72,77,-227
350,74,82,-231
407,85,82,-271
463,76,43,-256
518,95,5,-247
577,122,-40,-206
634,97,-65,-185
693,128,-132,-177
753,128,-131,-163
812,115,-166,-146
872,108,-153,-152
932,110,-171,-142
991,115,-176,-142
1051,105,-193,-125
1110,111,-180,-133
1170,112,-179,-125
1229,120,-183,-126
1289,127,-163,-135
1348,109,-190,-122
1408,125,-166,-161
1466,126,-98,-185
1526,127,-153,-150
1584,142,-68,-199
1643,131,-10,-182
1701,141,-16,-245
1759,124,27,-242
1816,136,13,-233
1873,106,64,-217
1930,80,53,-231
1986,77,79,-222
2043,58,91,-209
2100,69,115,-241
2157,41,113,-227
2215,52,121,-227
2272,69,136,-240
2330,49,129,-222
2387,43,119,-218
2444,40,120,-219
2502,47,126,-222
2559,54,126,-226
2617,58,121,-229
2674,57,112,-220
2732,56,108,-214
2788,54,91,-215
2845,69,104,-219
2903,64,102,-221
2960,61,102,-219
