timestamp,x,y,z
658,-15,54,-252
716,-18,48,-243
774,-19,49,-246
829,7,51,-246
886,39,48,-243
943,55,44,-242
1000,72,39,-238
1056,75,37,-237
1113,84,33,-238
1169,93,27,-235
1227,106,27,-227
1284,127,26,-225
1342,141,16,-201
1399,145,15,-206
1456,149,20,-210
1513,145,17,-212
1571,147,18,-208
1628,144,16,-214
1685,138,18,-215
1743,137,21,-217
1800,100,23,-236
1857,113,26,-239
1914,62,26,-244
1970,43,29,-241
2026,32,26,-255
2082,5,29,-251
2138,-9,25,-243
2195,-19,24,-249
2253,-28,24,-247
2310,-40,27,-236
2367,-41,29,-249
2425,-47,29,-242
2482,-47,29,-243
2539,-45,29,-248
2597,-43,29,-245
2654,-44,28,-247
2712,-42,28,-245
2769,-42,29,-247
2827,-39,29,-244
2884,-41,28,-252
2941,-39,27,-243
2998,-40,27,-250
