timestamp,x,y,z
21,-22,0,-252
77,-23,1,-248
133,-22,1,-253
189,-25,1,-248
245,-20,2,-249
302,-22,2,-252
358,-20,1,-244
414,-24,1,-251
471,-19,1,-248
527,-21,2,-249
583,-20,2,-251
640,-22,3,-250
696,-17,2,-250
752,-18,2,-250
808,-19,2,-249
865,-17,3,-251
921,-19,2,-250
977,-17,3,-249
1034,-17,3,-249
1090,-18,2,-250
1146,-18,3,-247
1203,-17,4,-250
1259,-17,2,-248
1315,-15,3,-250
1371,-18,3,-248
1428,-16,4,-249
1484,-20,4,-251
1540,-18,3,-250
1596,-19,3,-248
1653,-17,2,-252
1709,-17,3,-249
1765,-17,3,-251
1822,-17,2,-247
1878,-18,3,-251
1934,-16,2,-249
1991,-18,3,-250
2047,-17,3,-250
2103,-17,3,-248
2159,-17,3,-252
2216,-17,3,-249
2272,-17,4,-248
2328,-16,5,-253
2385,-17,2,-248
2441,-16,3,-251
2497,-18,1,-250
2553,-17,6,-249
2610,-17,3,-249
2666,-16,4,-251
2722,-17,3,-249
2778,-16,4,-250
2835,-15,2,-250
2891,-18,4,-251
2947,-15,5,-250
3004,-18,3,-249
