timestamp,x,y,z
42,-25,42,-243
99,-23,46,-247
157,-24,43,-247
214,-25,45,-246
271,-27,45,-244
328,-27,46,-246
385,-28,46,-246
443,-25,44,-245
500,-23,46,-247
557,-25,47,-247
614,-26,45,-244
672,-24,48,-246
729,-25,46,-246
786,-25,46,-244
843,-26,44,-245
901,-24,47,-243
958,-21,50,-248
1016,-22,45,-246
1073,-21,46,-246
1130,-21,45,-242
1187,-22,46,-250
1245,-24,46,-246
1302,-22,47,-249
1359,-25,45,-244
1416,-23,46,-245
1473,-22,46,-246
1531,-22,44,-244
1588,-23,46,-247
1645,-23,48,-246
1703,-23,47,-243
1760,-22,47,-245
1817,-23,45,-245
1874,-20,47,-247
1932,-23,47,-246
1989,-20,47,-247
2046,-23,46,-250
2104,-18,45,-245
2161,-16,47,-246
2218,-16,47,-248
2275,-18,47,-245
2333,-21,47,-244
2390,-21,48,-245
2447,-20,48,-248
2504,-14,47,-248
2561,-18,47,-248
2619,-19,48,-247
2676,-17,47,-242
2733,-18,48,-244
2791,-19,46,-246
2848,-19,47,-247
2905,-17,47,-247
2963,-20,50,-247
