timestamp,x,y,z
52,39,56,-244
108,39,54,-245
165,38,53,-245
221,56,57,-240
278,53,57,-244
334,52,52,-235
391,59,58,-241
447,60,56,-240
504,79,54,-234
560,80,53,-233
617,82,54,-238
673,89,46,-233
730,92,46,-229
786,92,43,-229
842,93,48,-234
899,98,46,-229
956,101,45,-231
1013,100,47,-231
1070,99,44,-230
1126,99,45,-231
1183,98,47,-231
1239,99,45,-229
1296,105,40,-225
1353,74,49,-239
1410,78,48,-245
1466,65,51,-241
1522,65,55,-239
1578,42,48,-241
1635,18,41,-242
1691,15,51,-249
1747,4,35,-219
1804,-25,54,-260
1862,-14,55,-251
1919,-30,58,-233
1977,-36,53,-245
2034,-46,49,-245
2092,-37,47,-240
2149,-50,53,-247
2207,-51,52,-241
2264,-47,51,-242
2322,-50,50,-241
2379,-46,53,-242
2437,-47,51,-244
2494,-36,53,-243
2552,-42,51,-242
2609,-40,53,-242
2667,-41,52,-241
2724,-39,54,-245
2782,-39,53,-242
2839,-39,52,-245
2897,-39,55,-242
2954,-38,53,-243
3011,-36,52,-240
