timestamp,x,y,z
37,82,53,-232
94,81,55,-232
151,84,54,-233
207,83,52,-231
264,84,52,-230
321,88,54,-243
377,88,85,-251
436,117,-21,-244
495,106,-42,-220
553,61,-130,-185
611,73,-152,-146
670,83,-161,-143
728,90,-190,-171
787,65,-190,-142
845,67,-184,-149
903,79,-181,-156
962,73,-203,-143
1020,87,-170,-154
1079,104,-167,-152
1137,79,-186,-150
1196,82,-185,-160
1254,79,-181,-140
1313,97,-184,-161
1371,95,-136,-146
1429,146,-84,-215
1488,108,-69,-180
1546,156,-51,-231
1604,135,-20,-201
1663,127,-13,-207
1720,134,36,-243
1778,125,21,-220
1835,128,47,-214
1893,118,61,-207
1950,124,84,-226
2006,95,94,-207
2065,103,112,-221
2122,92,111,-211
2180,92,110,-203
2238,89,114,-211
2295,86,112,-211
2353,87,119,-209
2410,95,122,-214
2468,86,121,-204
2525,94,121,-203
2583,91,119,-204
2641,96,120,-215
2698,91,119,-209
2756,93,120,-210
2813,94,117,-207
2871,97,119,-209
2929,90,115,-206
2986,93,109,-205
