timestamp,x,y,z
48,-27,9,-247
104,-28,9,-249
162,-26,10,-248
219,-27,12,-253
276,-25,13,-248
333,-25,10,-247
391,-27,11,-252
448,-25,13,-248
505,-26,11,-249
563,-24,12,-249
620,-23,12,-247
677,-27,11,-251
734,-23,12,-249
792,-25,13,-250
849,-24,12,-248
906,-24,13,-248
963,-23,11,-248
1021,-22,12,-250
1078,-24,11,-253
1135,-23,14,-247
1193,-23,12,-251
1250,-23,13,-254
1307,-22,12,-245
1364,-22,13,-251
1421,-22,13,-250
1479,-24,13,-249
1536,-25,14,-249
1593,-22,12,-250
1651,-23,12,-249
1708,-24,13,-249
1765,-23,15,-251
1822,-22,13,-248
1880,-25,14,-252
1937,-22,13,-248
1994,-25,11,-251
2051,-22,15,-248
2109,-23,14,-249
2166,-21,14,-249
2223,-23,13,-248
2281,-23,14,-250
2338,-23,14,-249
2395,-21,14,-249
2452,-21,14,-251
2510,-21,14,-250
2567,-21,15,-248
2624,-21,13,-250
2681,-20,14,-248
2739,-23,15,-248
2796,-22,15,-250
2853,-21,14,-249
2910,-21,15,-250
2968,-20,15,-249
