timestamp,x,y,z
71,110,63,-221
131,110,63,-220
191,112,63,-221
251,111,62,-222
311,112,61,-225
371,118,59,-229
431,114,53,-223
491,125,45,-224
551,133,27,-230
610,125,7,-215
671,137,-12,-216
732,136,-25,-216
793,131,-41,-201
854,147,-57,-200
915,139,-66,-190
976,146,-76,-189
1037,149,-88,-182
1098,147,-96,-183
1160,141,-103,-176
1222,144,-114,-172
1284,144,-119,-169
1346,142,-128,-157
1408,141,-135,-148
1470,149,-128,-158
1532,151,-137,-161
1594,142,-148,-142
1656,134,-136,-153
1719,142,-157,-145
1781,142,-148,-152
1843,131,-150,-135
1905,143,-154,-152
1967,137,-139,-150
2029,134,-148,-143
2091,143,-131,-160
2153,137,-126,-153
2215,163,-119,-179
2277,135,-102,-155
2338,153,-88,-182
2399,149,-67,-195
2460,147,-58,-197
2522,152,-30,-197
2583,131,-13,-193
2643,154,11,-238
2703,126,25,-227
2762,123,35,-217
2822,107,52,-208
2883,122,63,-231
2943,121,67,-231
3002,109,65,-215
