timestamp,x,y,z
50,81,73,-230
107,66,76,-235
164,69,76,-234
221,73,77,-225
278,75,78,-225
334,72,74,-227
391,66,74,-233
448,76,75,-241
505,75,78,-239
561,89,53,-238
618,68,40,-230
676,74,-18,-218
735,102,-26,-238
793,85,-49,-215
852,110,-76,-219
910,94,-90,-203
968,98,-122,-194
1028,109,-96,-204
1086,85,-131,-181
1145,97,-133,-194
1204,96,-134,-188
1262,97,-134,-193
1321,81,-165,-165
1379,80,-147,-178
1438,66,-185,-145
1496,74,-165,-190
1554,66,-175,-148
1613,72,-194,-142
1671,97,-156,-179
1729,66,-207,-133
1788,85,-155,-168
1846,90,-191,-149
1905,128,-113,-197
1964,83,-171,-153
2022,118,-91,-223
2081,121,-102,-190
2140,111,-93,-193
2198,139,-78,-207
2255,121,1,-220
2313,131,-44,-215
2372,120,-20,-192
2429,155,28,-203
2487,105,53,-216
2545,129,84,-204
2603,112,104,-216
2662,114,112,-214
2721,112,115,-205
2779,106,114,-204
2838,107,119,-211
2897,102,113,-201
2954,99,114,-203
3012,95,116,-201
